name,category,subcategory
Michel Platini,sports,soccer
Stanley Matthews,sports,soccer
Brett Hull,sports,hockey
Dino Zoff,sports,soccer
Bobby Moore,sports,soccer
Hakeem Olajuwon,sports,basketball
Giacinto Facchetti,sports,soccer
Bill Sharman,sports,basketball
Oscar Robertson,sports,basketball
Paolo Rossi,sports,soccer
Eddie Shore,sports,hockey
Gilbert Perreault,sports,hockey
Phil Esposito,sports,hockey
Dominik Hasek,sports,hockey
Kevin Garnett,sports,basketball
Grant Fuhr,sports,hockey
Ronaldo (Nazario),sports,soccer
Sidney Crosby,sports,hockey
Kevin McHale,sports,basketball
Moses Malone,sports,basketball
Lothar Matthaus,sports,soccer
Ryan Giggs,sports,soccer
Larry Bird,sports,basketball
